,age_range,self_defined_ethnicity,gender,officer_defined_ethnicity,object_of_search
26,,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Male,Black,Controlled drugs
27,10-17,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Male,Black,Controlled drugs
28,10-17,White - English/Welsh/Scottish/Northern Irish/British,Female,White,Offensive weapons
29,18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Offensive weapons
30,10-17,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Offensive weapons
31,25-34,White - English/Welsh/Scottish/Northern Irish/British,Female,White,Offensive weapons
32,25-34,Black/African/Caribbean/Black British - Caribbean,Male,,Article for use in theft
33,over 34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Controlled drugs
34,25-34,Black/African/Caribbean/Black British - African,Male,Black,Controlled drugs
35,25-34,White - English/Welsh/Scottish/Northern Irish/British,Female,White,Offensive weapons
36,,Other ethnic group - Not stated,Male,White,Controlled drugs
37,10-17,White - English/Welsh/Scottish/Northern Irish/British,Male,Black,
38,10-17,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Offensive weapons
39,25-34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Controlled drugs
40,18-24,Mixed/Multiple ethnic groups - Any other Mixed/Multiple ethnic background,Male,Black,Controlled drugs
41,over 34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Controlled drugs
42,over 34,White - English/Welsh/Scottish/Northern Irish/British,Female,White,Controlled drugs
43,18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Controlled drugs
44,25-34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Controlled drugs
45,25-34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Controlled drugs
46,25-34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Controlled drugs
47,25-34,Other ethnic group - Not stated,Male,White,Controlled drugs
0,18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Controlled drugs
1,18-24,Mixed/Multiple ethnic groups - Any other Mixed/Multiple ethnic background,Male,Black,Controlled drugs
2,18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Controlled drugs
3,over 34,Asian/Asian British - Any other Asian background,Male,Asian,Controlled drugs
4,18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Controlled drugs
5,18-24,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Male,Black,Controlled drugs
6,over 34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Article for use in theft
7,25-34,Black/African/Caribbean/Black British - African,Male,Black,Controlled drugs
8,25-34,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Male,Black,Controlled drugs
9,25-34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Controlled drugs
10,25-34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Controlled drugs
11,10-17,White - English/Welsh/Scottish/Northern Irish/British,Male,White,
12,10-17,Black/African/Caribbean/Black British - African,Male,Black,Offensive weapons
13,10-17,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Offensive weapons
14,,White - English/Welsh/Scottish/Northern Irish/British,Male,White,
15,18-24,Other ethnic group - Not stated,Male,Black,Controlled drugs
16,25-34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Controlled drugs
17,18-24,White - English/Welsh/Scottish/Northern Irish/British,Female,White,Controlled drugs
18,10-17,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Offensive weapons
19,18-24,Other ethnic group - Not stated,Male,Asian,Article for use in theft
20,18-24,Asian/Asian British - Indian,Male,Asian,Offensive weapons
21,10-17,Other ethnic group - Not stated,Female,White,Article for use in theft
22,over 34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Controlled drugs
23,25-34,Other ethnic group - Not stated,Male,Asian,Controlled drugs
24,25-34,Other ethnic group - Not stated,Male,Black,Offensive weapons
25,18-24,Other ethnic group - Not stated,Male,Black,Controlled drugs
26,,Other ethnic group - Not stated,Male,Black,Controlled drugs
27,10-17,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Offensive weapons
28,10-17,White - English/Welsh/Scottish/Northern Irish/British,Male,Asian,Offensive weapons
29,10-17,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Offensive weapons
30,over 34,White - Any other White background,Male,White,Article for use in theft
31,25-34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Controlled drugs
32,10-17,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Offensive weapons
33,25-34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Controlled drugs
34,25-34,Other ethnic group - Not stated,Male,Black,Controlled drugs
35,10-17,Black/African/Caribbean/Black British - African,Male,Black,Controlled drugs
36,25-34,Other ethnic group - Not stated,Male,Black,Controlled drugs
37,over 34,White - English/Welsh/Scottish/Northern Irish/British,Female,White,Stolen goods
38,18-24,Black/African/Caribbean/Black British - African,Male,White,Controlled drugs
0,10-17,Other ethnic group - Not stated,Male,,Controlled drugs
1,10-17,Black/African/Caribbean/Black British - African,Male,Black,Controlled drugs
2,10-17,Black/African/Caribbean/Black British - African,Male,Asian,Controlled drugs
3,25-34,Asian/Asian British - Pakistani,Male,Asian,Controlled drugs
4,18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Controlled drugs
5,18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Controlled drugs
6,18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Controlled drugs
7,18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Controlled drugs
8,18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Controlled drugs
9,,White - English/Welsh/Scottish/Northern Irish/British,Male,White,
10,18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,White,
11,over 34,White - Any other White background,Male,White,Article for use in theft
12,18-24,Mixed/Multiple ethnic groups - White and Asian,Male,Asian,Controlled drugs
13,18-24,Mixed/Multiple ethnic groups - White and Black Caribbean,Male,White,Controlled drugs
14,18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Controlled drugs
15,18-24,Black/African/Caribbean/Black British - African,Female,Black,Offensive weapons
16,18-24,Black/African/Caribbean/Black British - African,Male,Black,Controlled drugs
17,18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Article for use in theft
18,25-34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,
19,18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Controlled drugs
20,over 34,Black/African/Caribbean/Black British - African,Male,Black,
21,over 34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,
22,25-34,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Male,Black,Controlled drugs
23,25-34,Other ethnic group - Not stated,Male,Black,Controlled drugs
24,25-34,Mixed/Multiple ethnic groups - Any other Mixed/Multiple ethnic background,Male,Black,Offensive weapons
25,10-17,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Controlled drugs
26,10-17,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Male,Asian,
27,25-34,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Male,Black,
28,25-34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Article for use in theft
29,25-34,White - English/Welsh/Scottish/Northern Irish/British,Male,,Controlled drugs
30,10-17,Mixed/Multiple ethnic groups - White and Black African,Male,Black,
31,18-24,White - Any other White background,Male,White,Controlled drugs
32,,White - English/Welsh/Scottish/Northern Irish/British,Female,White,Controlled drugs
33,over 34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Article for use in theft
34,over 34,White - English/Welsh/Scottish/Northern Irish/British,Female,White,Stolen goods
35,18-24,Asian/Asian British - Pakistani,Male,Asian,Controlled drugs
36,over 34,Asian/Asian British - Pakistani,Male,Asian,Controlled drugs
37,over 34,White - Any other White background,Male,White,Article for use in theft
38,25-34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,
39,10-17,White - English/Welsh/Scottish/Northern Irish/British,Female,Black,Offensive weapons
40,18-24,Other ethnic group - Not stated,Male,Black,Controlled drugs
41,18-24,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Male,Black,Offensive weapons
42,18-24,Other ethnic group - Not stated,Male,Black,Offensive weapons
43,,Other ethnic group - Not stated,Male,Black,Offensive weapons
44,25-34,Asian/Asian British - Pakistani,Male,,
45,18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Articles for use in criminal damage
46,25-34,White - English/Welsh/Scottish/Northern Irish/British,Female,White,Offensive weapons
47,18-24,Other ethnic group - Not stated,Male,White,Controlled drugs
48,25-34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Controlled drugs
49,25-34,White - Any other White background,Female,White,Controlled drugs
50,18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Controlled drugs
51,over 34,Asian/Asian British - Any other Asian background,Male,Asian,Controlled drugs
52,over 34,Other ethnic group - Any other ethnic group,Male,Asian,Controlled drugs
53,25-34,Other ethnic group - Not stated,Male,,
0,18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Controlled drugs
1,25-34,Black/African/Caribbean/Black British - Caribbean,Male,Black,Controlled drugs
2,over 34,White - English/Welsh/Scottish/Northern Irish/British,,White,Controlled drugs
3,10-17,Mixed/Multiple ethnic groups - White and Black African,Male,Black,Controlled drugs
4,10-17,Other ethnic group - Not stated,Male,White,Controlled drugs
5,18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Article for use in theft
6,18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Article for use in theft
7,over 34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,
8,18-24,Other ethnic group - Not stated,Male,Black,Controlled drugs
9,25-34,White - English/Welsh/Scottish/Northern Irish/British,Female,White,Stolen goods
10,18-24,Other ethnic group - Not stated,Male,Black,Controlled drugs
11,18-24,Other ethnic group - Not stated,Male,Asian,Controlled drugs
12,18-24,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Male,White,Article for use in theft
13,18-24,White - Any other White background,Male,White,Controlled drugs
14,25-34,White - Any other White background,Male,White,Controlled drugs
15,10-17,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Offensive weapons
16,10-17,Other ethnic group - Not stated,Male,Black,Offensive weapons
17,10-17,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Male,Black,Offensive weapons
18,25-34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Controlled drugs
19,over 34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Article for use in theft
20,18-24,Mixed/Multiple ethnic groups - White and Black Caribbean,Male,Black,Controlled drugs
21,18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Controlled drugs
22,10-17,Other ethnic group - Not stated,Male,White,Controlled drugs
23,,Other ethnic group - Not stated,,,Controlled drugs
24,25-34,Other ethnic group - Any other ethnic group,Male,White,Controlled drugs
25,18-24,Asian/Asian British - Any other Asian background,Male,Asian,Controlled drugs
26,18-24,Other ethnic group - Not stated,Male,Other,
27,over 34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Offensive weapons
28,over 34,White - Any other White background,Male,White,Article for use in theft
29,25-34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Articles for use in criminal damage
30,over 34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Article for use in theft
31,10-17,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Controlled drugs
32,10-17,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Controlled drugs
33,over 34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Controlled drugs
34,over 34,White - English/Welsh/Scottish/Northern Irish/British,Female,White,Controlled drugs
35,,Other ethnic group - Not stated,,,Controlled drugs
36,25-34,Asian/Asian British - Any other Asian background,Male,Asian,Controlled drugs
37,,Other ethnic group - Not stated,Female,Asian,
38,18-24,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Female,,
39,18-24,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Male,Black,
40,18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Controlled drugs
41,25-34,Other ethnic group - Not stated,Male,Black,Controlled drugs
42,over 34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Firearms
43,over 34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Offensive weapons
44,over 34,White - English/Welsh/Scottish/Northern Irish/British,Female,White,Offensive weapons
45,over 34,White - Any other White background,Male,White,Controlled drugs
46,over 34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Controlled drugs
47,25-34,Asian/Asian British - Any other Asian background,Male,Asian,Controlled drugs
48,18-24,Asian/Asian British - Any other Asian background,Male,Other,Controlled drugs
49,over 34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Controlled drugs
50,25-34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Controlled drugs
51,10-17,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Controlled drugs
52,25-34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Controlled drugs
53,18-24,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Male,Black,Controlled drugs
54,over 34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Offensive weapons
